src,dst,spec,used_slot,tfk_slot
87,56,56,4,4
86,83,57,4,4
73,36,58,4,4
70,21,57,4,4
61,2,57,4,4
58,80,60,4,4
51,27,59,4,4
50,31,60,4,4
48,41,58,4,4
45,33,59,4,4
40,0,58,4,4
10,60,57,4,4
8,17,21,4,4
3,82,57,4,4
97,57,57,3,3
64,29,29,3,3
47,7,33,3,3
18,11,59,3,3
9,16,38,3,3
88,12,48,2,2
6,24,56,2,2
86,67,63,6,6
2,56,61,6,6
80,8,64,5,5
75,54,66,5,5
63,19,67,5,5
59,24,67,5,5
42,25,62,5,5
31,44,64,5,5
21,64,61,5,5
7,84,62,5,5
3,30,61,5,5
98,95,43,4,4
96,57,63,4,4
89,38,65,4,4
77,69,67,4,4
73,87,62,4,4
72,0,63,4,4
60,82,61,4,4
51,32,51,4,4
50,61,64,4,4
48,13,66,4,4
36,40,62,4,4
26,27,63,4,4
10,58,64,4,4
4,83,62,4,4
99,62,48,3,3
94,6,45,3,3
93,39,13,3,3
88,45,63,3,3
81,65,64,3,3
70,66,67,3,3
34,1,51,3,3
28,29,54,3,3
20,22,15,3,3
18,78,62,3,3
92,33,63,2,2
79,37,44,2,2
76,74,66,2,2
68,35,57,2,2
47,15,55,2,2
12,17,50,2,2
9,52,16,2,2
56,73,67,6,6
88,2,50,5,5
74,78,51,5,5
59,47,72,5,5
34,67,69,5,5
24,22,72,5,5
7,72,67,5,5
98,17,64,4,4
91,61,42,4,4
86,52,30,4,4
77,41,71,4,4
70,54,71,4,4
69,45,71,4,4
64,93,66,4,4
60,14,65,4,4
50,71,68,4,4
49,21,66,4,4
44,15,69,4,4
38,90,14,4,4
32,85,64,4,4
31,84,69,4,4
9,80,69,4,4
3,66,70,4,4
1,13,70,4,4
0,42,47,4,4
96,51,55,3,3
92,12,56,3,3
89,99,69,3,3
87,79,66,3,3
82,94,65,3,3
63,83,44,3,3
57,58,68,3,3
43,10,44,3,3
40,76,68,3,3
36,5,48,3,3
27,48,70,3,3
25,28,67,3,3
6,68,59,3,3
81,95,24,2,2
75,11,25,2,2
62,55,54,2,2
46,33,52,2,2
20,19,63,2,2
18,37,65,2,2
94,98,68,5,5
66,56,74,5,5
28,75,71,5,5
1,78,65,5,5
86,85,69,4,4
72,97,72,4,4
64,4,70,4,4
53,73,73,4,4
48,63,73,4,4
40,50,72,4,4
34,25,74,4,4
32,6,68,4,4
15,26,73,4,4
12,2,67,4,4
0,80,73,4,4
96,38,69,3,3
91,87,29,3,3
88,57,60,3,3
82,37,36,3,3
79,61,69,3,3
77,29,58,3,3
71,13,56,3,3
69,22,77,3,3
67,33,74,3,3
60,46,69,3,3
51,93,63,3,3
47,36,66,3,3
31,7,73,3,3
10,19,41,3,3
99,70,61,2,2
92,84,67,2,2
76,81,71,2,2
74,9,60,2,2
65,3,67,2,2
58,68,71,2,2
54,83,75,2,2
45,14,69,2,2
41,8,62,2,2
30,21,70,2,2
20,16,48,2,2
76,44,73,5,5
9,8,73,5,5
38,3,74,4,4
31,11,76,4,4
20,72,76,4,4
7,91,76,4,4
99,29,20,3,3
92,6,72,3,3
87,46,72,3,3
78,67,77,3,3
77,73,7,3,3
75,82,21,3,3
63,48,77,3,3
57,21,72,3,3
50,17,76,3,3
43,58,73,3,3
40,84,76,3,3
36,70,75,3,3
33,54,77,3,3
30,42,57,3,3
27,89,16,3,3
19,15,8,3,3
13,55,74,3,3
10,79,72,3,3
0,64,32,3,3
96,52,14,2,2
93,71,7,2,2
88,53,66,2,2
86,97,61,2,2
65,12,61,2,2
51,41,66,2,2
32,45,57,2,2
45,61,75,5,5
78,96,72,4,4
57,74,75,4,4
42,1,74,4,4
6,2,75,4,4
85,38,18,3,3
77,97,48,3,3
70,43,64,3,3
56,36,22,3,3
50,16,6,3,3
21,87,75,3,3
15,9,64,3,3
13,27,77,3,3
0,41,68,3,3
99,63,29,2,2
