src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
21,28,33.0,2,0,1,11,10.0
21,53,9.0,2,1,1,3,2.0
21,64,67.0,0,0,1,13,12.0
21,72,67.0,2,1,1,13,12.0
21,77,18.0,0,0,1,14,13.0
21,86,54.0,0,0,1,13,12.0
21,87,38.0,0,1,1,6,5.0
22,20,60.0,0,2,1,17,16.0
22,30,32.0,1,0,1,26,25.0
22,56,58.0,1,0,2,9,15.0
23,15,4.0,2,2,1,2,1.0
23,40,67.0,0,1,1,13,12.0
23,42,9.0,2,0,1,17,16.0
23,98,37.0,1,0,1,12,11.0
24,0,43.0,2,2,1,2,1.0
24,14,59.0,2,2,1,21,20.0
24,16,41.0,0,0,2,3,3.0
24,20,71.0,0,1,1,9,8.0
24,22,45.0,2,2,1,13,12.0
24,27,11.0,1,1,1,9,8.0
24,31,3.0,0,1,1,15,14.0
24,44,26.0,2,2,1,17,16.0
24,55,54.0,0,2,1,3,2.0
24,56,67.0,1,0,1,11,10.0
24,58,47.0,1,0,1,2,1.0
24,61,18.0,0,2,1,23,22.0
24,81,51.0,1,0,1,2,1.0
24,90,30.0,1,2,1,9,8.0
25,1,31.0,2,2,1,15,14.0
25,3,61.0,2,1,1,15,14.0
25,9,0.0,2,0,1,11,10.0
25,28,48.0,1,0,1,6,5.0
25,34,27.0,1,1,1,11,10.0
25,52,23.0,0,1,1,25,24.0
25,61,46.0,2,1,1,13,12.0
25,66,73.0,1,1,1,4,3.0
25,67,55.0,1,0,1,7,6.0
25,86,62.0,1,2,1,8,7.0
25,97,61.0,0,1,1,2,1.0
26,27,72.0,2,1,1,8,7.0
26,38,70.0,2,2,1,2,1.0
26,55,0.0,2,0,1,17,16.0
26,59,34.0,2,2,1,14,13.0
26,71,63.0,1,0,1,17,16.0
26,73,48.0,2,1,1,7,6.0
26,96,61.0,0,2,1,17,16.0
27,12,0.0,0,1,1,2,1.0
27,48,68.0,0,1,1,7,6.0
27,68,1.0,2,0,1,12,11.0
27,81,29.0,2,0,1,22,21.0
27,89,63.0,1,1,1,5,4.0
27,92,60.0,0,1,1,6,5.0
28,6,15.0,0,2,1,10,9.0
28,29,0.0,2,2,1,5,4.0
28,75,5.0,2,0,1,13,12.0
29,31,25.0,0,1,1,25,24.0
30,21,58.0,2,2,1,3,2.0
30,42,13.0,0,2,1,6,5.0
30,68,28.0,2,1,1,13,12.0
30,71,48.0,2,0,1,8,7.0
30,82,69.0,0,0,1,11,10.0
31,3,0.0,1,0,2,3,3.0
31,7,74.0,0,2,1,6,5.0
31,11,25.0,0,0,1,8,7.0
31,16,50.0,0,1,1,13,12.0
31,17,23.0,0,0,1,2,1.0
31,30,23.0,1,1,1,2,1.0
31,32,36.0,2,2,1,15,14.0
31,39,4.0,2,1,1,17,16.0
31,41,51.0,2,2,1,17,16.0
31,44,21.0,2,1,1,13,12.0
31,46,44.0,0,1,1,6,5.0
31,60,73.0,2,1,1,7,6.0
31,82,18.0,1,2,1,2,1.0
31,84,65.0,0,1,1,9,8.0
31,99,20.0,1,0,1,2,1.0
32,6,71.0,1,0,1,9,8.0
32,7,0.0,2,0,1,20,19.0
32,16,24.0,2,1,1,12,11.0
32,19,6.0,1,0,1,16,15.0
32,24,2.0,1,2,1,4,3.0
32,34,53.0,1,2,1,8,7.0
32,40,47.0,1,0,1,5,4.0
32,41,71.0,0,1,1,9,8.0
32,45,25.0,1,0,1,2,1.0
32,63,59.0,2,1,1,16,15.0
32,73,0.0,0,0,1,21,20.0
32,74,65.0,1,0,1,6,5.0
32,84,61.0,1,1,1,4,3.0
32,85,27.0,1,0,1,9,8.0
32,91,0.0,1,2,1,2,1.0
32,94,36.0,1,0,1,11,10.0
33,2,76.0,0,0,1,2,1.0
33,3,6.0,2,0,1,8,7.0
33,16,16.0,1,0,1,25,24.0
33,27,52.0,1,2,1,13,12.0
33,54,16.0,2,0,1,7,6.0
33,79,66.0,0,1,2,7,12.0
34,1,46.0,2,0,1,7,6.0
34,2,41.0,0,0,1,25,24.0
34,3,59.0,1,1,1,2,1.0
34,4,31.0,2,0,1,15,14.0
34,5,0.0,0,1,1,21,20.0
34,25,38.0,1,1,1,10,9.0
34,39,61.0,2,1,1,14,13.0
34,44,18.0,1,0,1,9,8.0
34,49,23.0,0,0,1,2,1.0
