src,dst,spec,used_slot,tfk_slot
41,26,78,2,2
38,45,65,2,2
34,40,78,2,2
4,96,26,2,2
3,13,26,2,2
73,62,12,2,2
50,26,2,2,2
30,49,36,2,2
12,74,61,2,2
62,51,39,2,2
49,53,53,2,2
41,6,39,2,2
32,68,72,2,2
13,26,4,2,2
58,6,69,2,2
49,63,62,2,2
31,45,58,2,2
12,65,52,2,2
62,61,78,2,2
40,70,4,2,2
31,63,2,2,2
57,62,23,2,2
15,21,78,2,2
0,28,29,2,2
48,62,62,2,2
