src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
7,64,73.0,2,1,1,2,1.0
7,71,46.0,2,2,1,2,1.0
7,72,67.0,0,0,1,13,12.0
7,73,75.0,1,0,2,3,3.0
7,77,20.0,2,1,1,14,13.0
7,83,0.0,1,0,1,4,3.0
7,84,39.0,1,1,2,7,12.0
7,91,53.0,1,1,2,5,7.0
8,17,47.0,2,2,1,8,7.0
9,3,24.0,2,2,1,2,1.0
9,8,67.0,2,0,1,13,12.0
9,16,47.0,1,0,1,6,5.0
9,20,73.0,1,1,1,5,4.0
9,25,38.0,1,2,1,9,8.0
9,27,2.0,2,0,1,21,20.0
9,36,65.0,0,0,1,13,12.0
9,44,61.0,0,0,1,3,2.0
9,52,58.0,1,0,1,2,1.0
9,71,23.0,0,0,1,18,17.0
9,72,23.0,1,1,1,15,14.0
9,75,0.0,1,1,1,2,1.0
9,78,78.0,1,2,1,2,1.0
9,80,55.0,2,1,1,10,9.0
9,87,26.0,2,0,1,12,11.0
9,91,5.0,0,0,1,9,8.0
10,1,4.0,2,2,1,20,19.0
10,3,70.0,0,1,1,3,2.0
10,19,15.0,0,1,1,5,4.0
10,20,60.0,0,0,1,3,2.0
10,26,14.0,1,0,1,2,1.0
10,32,0.0,0,1,1,15,14.0
10,33,78.0,1,1,1,2,1.0
10,34,76.0,2,1,1,2,1.0
10,39,34.0,1,0,1,2,1.0
10,46,63.0,0,1,1,7,6.0
10,58,39.0,0,1,1,10,9.0
10,60,70.0,1,1,1,8,7.0
10,61,0.0,1,0,1,14,13.0
10,62,51.0,0,0,1,9,8.0
10,79,51.0,1,1,1,6,5.0
10,82,57.0,1,2,1,12,11.0
10,92,52.0,2,1,1,2,1.0
11,7,46.0,2,1,1,7,6.0
11,25,27.0,0,0,1,2,1.0
11,39,30.0,1,1,2,3,3.0
12,2,18.0,2,2,1,10,9.0
12,3,19.0,0,0,1,3,2.0
12,8,2.0,0,1,1,15,14.0
12,15,22.0,0,0,1,2,1.0
12,17,45.0,1,0,1,2,1.0
12,20,68.0,2,1,1,2,1.0
12,31,52.0,0,2,1,9,8.0
12,38,61.0,0,0,1,17,16.0
12,39,78.0,0,2,1,2,1.0
12,45,24.0,0,0,1,22,21.0
12,52,34.0,1,0,1,8,7.0
12,67,30.0,2,0,1,25,24.0
12,70,28.0,2,1,1,2,1.0
12,90,16.0,1,0,1,18,17.0
12,95,59.0,1,0,1,21,20.0
12,96,4.0,1,0,1,2,1.0
12,97,6.0,1,0,1,10,9.0
13,5,62.0,0,1,1,18,17.0
13,8,53.0,2,1,1,2,1.0
13,10,16.0,0,1,1,11,10.0
13,25,78.0,2,1,1,2,1.0
13,26,60.0,0,1,1,2,1.0
13,27,58.0,1,0,1,6,5.0
13,51,64.0,1,1,1,3,2.0
13,55,19.0,1,0,1,5,4.0
13,57,0.0,0,1,1,3,2.0
13,67,55.0,1,0,1,3,2.0
13,80,58.0,2,0,1,20,19.0
13,85,67.0,1,0,1,13,12.0
13,90,37.0,2,0,1,16,15.0
13,95,24.0,1,0,1,17,16.0
14,5,25.0,1,2,1,13,12.0
14,17,78.0,1,1,2,2,1.0
14,18,17.0,0,2,1,2,1.0
14,24,0.0,2,1,1,7,6.0
14,92,38.0,1,2,1,2,1.0
14,93,64.0,1,0,2,7,12.0
14,99,26.0,0,1,1,13,12.0
15,9,41.0,1,2,1,7,6.0
15,14,62.0,2,2,1,2,1.0
15,18,76.0,0,0,1,2,1.0
15,26,34.0,1,1,2,5,7.0
15,30,61.0,0,1,2,12,22.0
15,50,78.0,0,1,1,2,1.0
15,61,24.0,0,2,1,13,12.0
15,80,0.0,0,2,1,2,1.0
15,86,67.0,2,2,1,9,8.0
16,82,76.0,1,0,1,2,1.0
16,89,52.0,1,0,2,9,15.0
17,98,60.0,0,1,1,12,11.0
18,3,40.0,1,2,1,2,1.0
18,11,19.0,2,2,1,5,4.0
18,13,0.0,1,1,1,15,14.0
18,17,0.0,0,2,1,8,7.0
18,37,15.0,2,2,1,2,1.0
18,78,0.0,2,0,1,7,6.0
18,79,26.0,0,2,1,32,31.0
18,81,17.0,0,1,1,2,1.0
18,84,46.0,1,1,2,6,9.0
19,10,48.0,1,1,1,3,2.0
19,15,25.0,1,2,1,7,6.0
19,44,55.0,1,2,1,16,15.0
19,63,17.0,0,1,1,14,13.0
19,65,36.0,0,2,1,19,18.0
19,81,55.0,0,2,1,17,16.0
20,1,63.0,0,1,1,15,14.0
20,16,78.0,0,0,1,2,1.0
20,19,11.0,2,1,1,2,1.0
20,22,52.0,2,1,1,5,4.0
20,51,78.0,1,0,1,2,1.0
20,59,18.0,1,1,1,21,20.0
20,67,46.0,0,2,1,13,12.0
20,70,0.0,0,2,1,13,12.0
20,72,38.0,0,1,1,8,7.0
20,74,4.0,1,0,1,14,13.0
20,79,57.0,2,1,1,2,1.0
20,80,24.0,2,1,1,15,14.0
20,82,2.0,1,1,1,2,1.0
21,16,68.0,1,1,2,8,13.0
21,28,64.0,0,1,1,11,10.0
21,53,0.0,2,2,1,3,2.0
21,57,23.0,1,0,2,8,14.0
21,64,15.0,0,1,1,13,12.0
21,72,34.0,0,0,1,13,12.0
21,86,4.0,1,2,1,13,12.0
21,87,3.0,2,2,1,6,5.0
22,20,13.0,0,0,1,17,16.0
22,30,0.0,1,1,2,14,25.0
22,56,62.0,2,1,1,16,15.0
23,15,60.0,0,2,1,2,1.0
23,40,67.0,0,1,1,13,12.0
23,42,40.0,0,2,1,17,16.0
23,98,25.0,0,2,1,12,11.0
24,0,78.0,2,2,1,2,1.0
24,14,41.0,2,2,1,21,20.0
24,16,33.0,0,2,1,4,3.0
24,20,13.0,0,2,1,9,8.0
24,22,57.0,1,1,1,13,12.0
24,27,54.0,0,2,1,9,8.0
24,31,40.0,1,1,1,15,14.0
24,44,37.0,0,2,1,17,16.0
24,51,7.0,1,1,1,23,22.0
24,55,75.0,0,0,1,3,2.0
24,56,22.0,0,0,1,11,10.0
24,58,32.0,1,1,2,2,1.0
24,61,0.0,2,2,1,23,22.0
24,81,78.0,0,1,1,2,1.0
24,90,70.0,1,2,1,9,8.0
25,1,16.0,1,0,1,15,14.0
25,3,48.0,2,0,1,15,14.0
25,28,72.0,1,0,1,6,5.0
25,34,14.0,0,0,1,11,10.0
25,61,65.0,2,2,1,13,12.0
25,66,0.0,2,2,1,4,3.0
25,67,58.0,0,0,1,7,6.0
25,81,30.0,0,0,1,13,12.0
25,86,0.0,0,0,1,8,7.0
25,97,65.0,0,0,1,2,1.0
26,27,0.0,0,1,2,5,7.0
26,38,78.0,2,2,1,2,1.0
26,55,51.0,1,1,2,9,16.0
26,71,29.0,0,2,1,17,16.0
26,73,13.0,2,1,1,7,6.0
27,12,0.0,0,0,1,2,1.0
27,48,70.0,0,0,1,7,6.0
27,68,68.0,2,1,1,12,11.0
27,73,33.0,2,1,1,15,14.0
27,89,77.0,0,0,2,3,4.0
27,92,39.0,0,1,1,6,5.0
28,6,39.0,0,0,1,10,9.0
28,29,75.0,1,1,2,3,4.0
28,75,59.0,0,1,1,13,12.0
30,21,0.0,0,1,1,3,2.0
30,42,57.0,1,1,2,4,5.0
30,68,55.0,0,1,1,13,12.0
30,71,25.0,2,1,1,8,7.0
30,82,69.0,0,1,1,11,10.0
31,3,36.0,0,2,1,4,3.0
31,7,0.0,1,0,1,6,5.0
31,11,19.0,1,0,1,8,7.0
31,17,38.0,1,0,1,2,1.0
31,30,41.0,0,0,1,2,1.0
31,32,56.0,0,1,1,15,14.0
31,39,63.0,2,1,1,17,16.0
31,41,16.0,2,0,1,17,16.0
31,44,23.0,0,2,1,13,12.0
31,46,72.0,1,1,1,6,5.0
31,60,6.0,2,1,1,7,6.0
31,82,6.0,1,1,1,2,1.0
31,84,10.0,1,0,1,9,8.0
31,88,36.0,2,0,1,15,14.0
31,99,8.0,1,0,1,2,1.0
32,6,71.0,1,1,1,9,8.0
32,7,36.0,1,0,1,20,19.0
32,16,0.0,2,0,1,12,11.0
32,19,0.999999999998,0,0,1,16,15.0
32,24,37.0,0,2,1,4,3.0
32,34,68.0,2,1,1,8,7.0
32,40,17.0,2,2,1,5,4.0
32,41,28.0,0,1,1,9,8.0
32,45,26.0,0,1,1,2,1.0
32,63,22.0,2,2,1,16,15.0
32,73,15.0,1,0,1,21,20.0
32,74,74.0,0,0,1,6,5.0
32,76,60.0,2,0,1,8,7.0
32,84,76.0,2,1,1,4,3.0
32,85,17.0,0,1,1,9,8.0
32,91,72.0,0,0,1,2,1.0
32,94,61.0,0,0,1,11,10.0
33,2,78.0,0,2,1,2,1.0
33,3,0.0,2,2,1,8,7.0
33,16,2.0,0,2,1,25,24.0
33,27,20.0,1,1,2,7,12.0
33,54,40.0,1,1,2,4,6.0
33,79,61.0,2,2,1,13,12.0
34,1,25.0,0,1,1,7,6.0
34,3,44.0,1,1,1,2,1.0
34,4,42.0,2,1,1,15,14.0
34,5,57.0,2,0,1,21,20.0
34,6,28.0,1,0,1,11,10.0
34,25,58.0,1,1,1,10,9.0
34,39,0.0,0,0,1,14,13.0
34,44,0.0,1,1,1,9,8.0
34,49,78.0,1,0,1,2,1.0
